Thailand
schengen,sea,average_temperature,currency_rate,the_rate_per_day
False,True,30,1.8,90
Germany
schengen,sea,average_temperature,currency_rate,the_rate_per_day
True,True,5,80,4000
Switzerland
schengen,sea,average_temperature,currency_rate,the_rate_per_day
False,False,20,66.17,3292
Brazil
schengen,sea,average_temperature,currency_rate,the_rate_per_day
False,True,25,19.25,964
Japan
schengen,sea,average_temperature,currency_rate,the_rate_per_day
False,True,15,0.61,31
Australia
schengen,sea,average_temperature,currency_rate,the_rate_per_day
False,True,30,49.96,2500
USA
schengen,sea,average_temperature,currency_rate,the_rate_per_day
False,True,18,65.84,3292
Hungary
schengen,sea,average_temperature,currency_rate,the_rate_per_day
True,False,10,0.3,15
China
schengen,sea,average_temperature,currency_rate,the_rate_per_day
False,True,20,9.67,484
