Switzerland
average_temperature,sea,currency_rate,the_rate_per_day,schengen
20,False,66.17,3292,False
China
average_temperature,sea,currency_rate,the_rate_per_day,schengen
20,True,9.67,484,False
Japan
average_temperature,sea,currency_rate,the_rate_per_day,schengen
15,True,0.61,31,False
Thailand
average_temperature,sea,currency_rate,the_rate_per_day,schengen
30,True,1.8,90,False
Germany
average_temperature,sea,currency_rate,the_rate_per_day,schengen
5,True,80,4000,True
Brazil
average_temperature,sea,currency_rate,the_rate_per_day,schengen
25,True,19.25,964,False
Hungary
average_temperature,sea,currency_rate,the_rate_per_day,schengen
10,False,0.3,15,True
Australia
average_temperature,sea,currency_rate,the_rate_per_day,schengen
30,True,49.96,2500,False
USA
average_temperature,sea,currency_rate,the_rate_per_day,schengen
18,True,65.84,3292,False
