Thailand
schengen,the_rate_per_day,currency_rate,average_temperature,sea
False,90,1.8,30,True
Japan
schengen,the_rate_per_day,currency_rate,average_temperature,sea
False,31,0.61,15,True
Australia
schengen,the_rate_per_day,currency_rate,average_temperature,sea
False,2500,49.96,30,True
USA
schengen,the_rate_per_day,currency_rate,average_temperature,sea
False,3292,65.84,18,True
Brazil
schengen,the_rate_per_day,currency_rate,average_temperature,sea
False,964,19.25,25,True
Hungary
schengen,the_rate_per_day,currency_rate,average_temperature,sea
True,15,0.3,10,False
China
schengen,the_rate_per_day,currency_rate,average_temperature,sea
False,484,9.67,20,True
Germany
schengen,the_rate_per_day,currency_rate,average_temperature,sea
True,4000,80,5,True
Switzerland
schengen,the_rate_per_day,currency_rate,average_temperature,sea
False,3292,66.17,20,False
